1 3 5
2 3 4.9999
3 3 4.9998
4 3 4.9997
5 3 4.9996
6 3 4.9995
7 3 4.9994
8 3 4.9993
9 3 4.9992
10 3 4.9991
11 3 4.999
12 3 4.9989
13 3 4.9988
14 3 4.9987
15 3 4.9986
16 3 4.9985
17 3 4.9984
18 3 4.9983
19 3 4.9982
20 3 4.9981
21 3 4.998
22 3 4.9979
23 3 4.9978
24 3 4.9977
25 3 4.9976
26 3 4.9975
27 3 4.9974
28 3 4.9973
29 3 4.9972
30 3 4.9971
31 3 4.997
32 3 4.9969
33 3 4.9968
34 2.99999 4.9967
35 2.99999 4.9966
36 2.99999 4.9965
37 2.99999 4.9964
38 2.99999 4.9963
39 2.99999 4.9962
40 2.99999 4.9961
41 2.99999 4.996
42 2.99999 4.9959
43 2.99999 4.9958
44 2.99999 4.9957
45 2.99999 4.9956
46 2.99999 4.9955
47 2.99999 4.9954
48 2.99999 4.9953
49 2.99999 4.9952
50 2.99999 4.9951
51 2.99999 4.995
52 2.99999 4.9949
53 2.99999 4.9948
54 2.99999 4.9947
55 2.99999 4.9946
56 2.99999 4.9945
57 2.99998 4.9944
58 2.99998 4.9943
59 2.99998 4.9942
60 2.99998 4.9941
61 2.99998 4.994
62 2.99998 4.9939
63 2.99998 4.9938
64 2.99998 4.9937
65 2.99998 4.9936
66 2.99998 4.9935
67 2.99998 4.9934
68 2.99998 4.9933
69 2.99998 4.9932
70 2.99998 4.9931
71 2.99998 4.993
72 2.99998 4.9929
73 2.99997 4.9928
74 2.99997 4.9927
75 2.99997 4.9926
76 2.99997 4.9925
77 2.99997 4.9924
78 2.99997 4.9923
79 2.99997 4.9922
80 2.99997 4.9921
81 2.99997 4.992
82 2.99997 4.9919
83 2.99997 4.9918
84 2.99997 4.9917
85 2.99997 4.9916
86 2.99996 4.9915
87 2.99996 4.9914
88 2.99996 4.9913
89 2.99996 4.9912
90 2.99996 4.9911
91 2.99996 4.991
92 2.99996 4.9909
93 2.99996 4.9908
94 2.99996 4.9907
95 2.99996 4.9906
96 2.99996 4.9905
97 2.99995 4.9904
98 2.99995 4.9903
99 2.99995 4.9902
100 2.99995 4.9901
101 2.99995 4.99
102 2.99995 4.9899
103 2.99995 4.9898
104 2.99995 4.9897
105 2.99995 4.9896
106 2.99995 4.9895
107 2.99994 4.9894
108 2.99994 4.9893
109 2.99994 4.9892
110 2.99994 4.9891
111 2.99994 4.989
112 2.99994 4.9889
113 2.99994 4.9888
114 2.99994 4.9887
115 2.99994 4.9886
116 2.99993 4.9885
117 2.99993 4.9884
118 2.99993 4.9883
119 2.99993 4.9882
120 2.99993 4.9881
121 2.99993 4.988
122 2.99993 4.9879
123 2.99993 4.9878
124 2.99992 4.9877
125 2.99992 4.9876
126 2.99992 4.9875
127 2.99992 4.9874
128 2.99992 4.9873
129 2.99992 4.9872
130 2.99992 4.9871
131 2.99992 4.987
132 2.99991 4.9869
133 2.99991 4.9868
134 2.99991 4.9867
135 2.99991 4.9866
136 2.99991 4.9865
137 2.99991 4.9864
138 2.99991 4.9863
139 2.99991 4.9862
140 2.9999 4.9861
141 2.9999 4.986
142 2.9999 4.9859
143 2.9999 4.9858
144 2.9999 4.9857
145 2.9999 4.9856
146 2.9999 4.9855
147 2.99989 4.9854
148 2.99989 4.9853
149 2.99989 4.9852
150 2.99989 4.9851
151 2.99989 4.985
152 2.99989 4.9849
153 2.99989 4.9848
154 2.99988 4.9847
155 2.99988 4.9846
156 2.99988 4.9845
157 2.99988 4.9844
158 2.99988 4.9843
159 2.99988 4.9842
160 2.99987 4.9841
161 2.99987 4.984
162 2.99987 4.9839
163 2.99987 4.9838
164 2.99987 4.9837
165 2.99987 4.9836
166 2.99986 4.9835
167 2.99986 4.9834
168 2.99986 4.9833
169 2.99986 4.9832
170 2.99986 4.9831
171 2.99986 4.983
172 2.99985 4.9829
173 2.99985 4.9828
174 2.99985 4.9827
175 2.99985 4.9826
176 2.99985 4.9825
177 2.99985 4.9824
178 2.99984 4.9823
179 2.99984 4.9822
180 2.99984 4.9821
181 2.99984 4.982
182 2.99984 4.9819
183 2.99984 4.9818
184 2.99983 4.9817
185 2.99983 4.9816
186 2.99983 4.9815
187 2.99983 4.9814
188 2.99983 4.9813
189 2.99982 4.9812
190 2.99982 4.9811
191 2.99982 4.981
192 2.99982 4.9809
193 2.99982 4.9808
194 2.99981 4.9807
195 2.99981 4.9806
196 2.99981 4.9805
197 2.99981 4.9804
198 2.99981 4.9803
199 2.9998 4.9802
200 2.9998 4.9801
201 2.9998 4.98
202 2.9998 4.9799
203 2.9998 4.9798
204 2.99979 4.9797
205 2.99979 4.9796
206 2.99979 4.9795
207 2.99979 4.9794
208 2.99979 4.9793
209 2.99978 4.9792
210 2.99978 4.9791
211 2.99978 4.979
212 2.99978 4.9789
213 2.99978 4.9788
214 2.99977 4.9787
215 2.99977 4.9786
216 2.99977 4.9785
217 2.99977 4.9784
218 2.99977 4.9783
219 2.99976 4.9782
220 2.99976 4.9781
221 2.99976 4.978
222 2.99976 4.9779
223 2.99975 4.9778
224 2.99975 4.9777
225 2.99975 4.9776
226 2.99975 4.9775
227 2.99975 4.9774
228 2.99974 4.9773
229 2.99974 4.9772
230 2.99974 4.9771
231 2.99974 4.977
232 2.99973 4.9769
233 2.99973 4.9768
234 2.99973 4.9767
235 2.99973 4.9766
236 2.99973 4.9765
237 2.99972 4.9764
238 2.99972 4.9763
239 2.99972 4.9762
240 2.99972 4.9761
241 2.99971 4.976
242 2.99971 4.9759
243 2.99971 4.9758
244 2.99971 4.9757
245 2.9997 4.9756
246 2.9997 4.9755
247 2.9997 4.9754
248 2.9997 4.9753
249 2.99969 4.97521
250 2.99969 4.97511
251 2.99969 4.97501
252 2.99969 4.97491
253 2.99968 4.97481
254 2.99968 4.97471
255 2.99968 4.97461
256 2.99968 4.97451
257 2.99967 4.97441
258 2.99967 4.97431
259 2.99967 4.97421
260 2.99967 4.97411
261 2.99966 4.97401
262 2.99966 4.97391
263 2.99966 4.97381
264 2.99966 4.97371
265 2.99965 4.97361
266 2.99965 4.97351
267 2.99965 4.97341
268 2.99964 4.97331
269 2.99964 4.97321
270 2.99964 4.97311
271 2.99964 4.97301
272 2.99963 4.97291
273 2.99963 4.97281
274 2.99963 4.97271
275 2.99963 4.97261
276 2.99962 4.97251
277 2.99962 4.97241
278 2.99962 4.97231
279 2.99962 4.97221
280 2.99961 4.97211
281 2.99961 4.97201
282 2.99961 4.97191
283 2.9996 4.97181
284 2.9996 4.97171
285 2.9996 4.97161
